epoch,loss_data,loss_phys,loss_bc,lambda,loss_total
1,8.79653322e+00,8.78107541e+03,0.00000000e+00,14517.59286763,1.08046527e+05
2,1.16726138e+00,3.79001997e+03,0.00000000e+00,60281.90745063,6.69473641e+04
3,3.67687960e-01,2.53787636e+03,0.00000000e+00,149887.82690268,5.28170980e+04
4,9.37173819e-02,7.75260000e+02,0.00000000e+00,149572.98244369,1.52889890e+04
5,4.61150694e-02,2.92135843e+02,0.00000000e+00,133689.49240976,6.40624537e+03
6,3.12597484e-02,1.73382160e+02,0.00000000e+00,135028.14586264,4.39123293e+03
7,2.52513583e-02,1.33563024e+02,0.00000000e+00,141055.14041975,3.69924943e+03
8,2.20163004e-02,1.15959271e+02,0.00000000e+00,133293.93335590,3.08494908e+03
9,1.95794663e-02,1.14361111e+02,0.00000000e+00,144565.90234773,2.93368331e+03
10,1.83749922e-02,1.11182659e+02,0.00000000e+00,108234.40262644,2.07430335e+03
11,1.74797005e-02,1.03892830e+02,0.00000000e+00,98393.93530067,1.82402285e+03
12,1.70117741e-02,9.72829172e+01,0.00000000e+00,102866.10330700,1.84205214e+03
13,1.65639919e-02,9.24308982e+01,0.00000000e+00,88622.75811279,1.53923818e+03
14,1.57520367e-02,8.49328375e+01,0.00000000e+00,73937.06075429,1.24399746e+03
15,1.53016023e-02,8.09204935e+01,0.00000000e+00,111316.46216655,1.75877143e+03
16,1.50028891e-02,8.08754981e+01,0.00000000e+00,119568.25039537,1.86932824e+03
17,1.48212311e-02,7.40388237e+01,0.00000000e+00,99387.88953284,1.55053280e+03
18,1.45259582e-02,6.72973085e+01,0.00000000e+00,95798.12554601,1.45959236e+03
19,1.41805192e-02,6.33643375e+01,0.00000000e+00,93291.65227772,1.38489511e+03
20,1.41474126e-02,5.83417331e+01,0.00000000e+00,81430.44070475,1.20538624e+03
21,1.38684167e-02,5.46012482e+01,0.00000000e+00,81946.21739853,1.19108328e+03
22,1.38683470e-02,4.97600561e+01,0.00000000e+00,67579.90873934,9.87916245e+02
23,1.34752548e-02,4.61190682e+01,0.00000000e+00,59061.15412782,8.48394903e+02
24,1.34409540e-02,4.28643184e+01,0.00000000e+00,112379.93488061,1.53153139e+03
25,1.37463536e-02,4.31040466e+01,0.00000000e+00,76766.53470930,1.10093497e+03
26,1.34953006e-02,3.84421986e+01,0.00000000e+00,40028.67769933,5.81615624e+02
27,1.32359253e-02,3.49958084e+01,0.00000000e+00,60022.18313371,8.36303297e+02
28,1.33554468e-02,3.57151307e+01,0.00000000e+00,90017.88948850,1.23868623e+03
29,1.30446264e-02,3.35256074e+01,0.00000000e+00,55827.73816258,7.65696749e+02
