"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Grid_Velocity_x","Grid_Velocity_y"
0, 0.000000000000000e+00, 1.000000000000000e+00, 5.042800525821829e-04, 1.673150991682618e-02, 0.000000000000000e+00, 1.060071762100374e+02, 3.317900000000000e+01, 0.000000000000000e+00
1, 0.000000000000000e+00, 9.990000000000000e-01, 5.022087442579269e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.054440855076625e+02, 0.000000000000000e+00, 0.000000000000000e+00
2, 0.000000000000000e+00, 9.978273878559542e-01, 5.150894875045000e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.080701472617145e+02, 0.000000000000000e+00, 0.000000000000000e+00
3, 0.000000000000000e+00, 9.964528852028749e-01, 5.212006349602339e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.092415541883127e+02, 0.000000000000000e+00, 0.000000000000000e+00
4, 0.000000000000000e+00, 9.948424417000725e-01, 5.228052648130646e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.094578304585440e+02, 0.000000000000000e+00, 0.000000000000000e+00
5, 0.000000000000000e+00, 9.929565302615512e-01, 5.234941699976857e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.094855502639031e+02, 0.000000000000000e+00, 0.000000000000000e+00
6, 0.000000000000000e+00, 9.907493659623354e-01, 5.241035568910147e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.095069810501043e+02, 0.000000000000000e+00, 0.000000000000000e+00
7, 0.000000000000000e+00, 9.881680515257286e-01, 5.246386523597288e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.095266099805896e+02, 0.000000000000000e+00, 0.000000000000000e+00
8, 0.000000000000000e+00, 9.851516580233060e-01, 5.250872690785014e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.095429726640787e+02, 0.000000000000000e+00, 0.000000000000000e+00
9, 0.000000000000000e+00, 9.816302575799077e-01, 5.254547865893977e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.095568458130771e+02, 0.000000000000000e+00, 0.000000000000000e+00
10, 0.000000000000000e+00, 9.775239361398915e-01, 5.257486689466606e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.095685025603306e+02, 0.000000000000000e+00, 0.000000000000000e+00
11, 0.000000000000000e+00, 9.727418294480230e-01, 5.259785671773411e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.095781402769044e+02, 0.000000000000000e+00, 0.000000000000000e+00
12, 0.000000000000000e+00, 9.671812450423858e-01, 5.261554613520461e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.095859828171655e+02, 0.000000000000000e+00, 0.000000000000000e+00
13, 0.000000000000000e+00, 9.607269578052183e-01, 5.262892100998562e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.095921735652814e+02, 0.000000000000000e+00, 0.000000000000000e+00
14, 0.000000000000000e+00, 9.532507966397212e-01, 5.263896854593193e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.095968012768049e+02, 0.000000000000000e+00, 0.000000000000000e+00
15, 0.000000000000000e+00, 9.446116745626529e-01, 5.264642070431327e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.095999606508506e+02, 0.000000000000000e+00, 0.000000000000000e+00
16, 0.000000000000000e+00, 9.346562521084406e-01, 5.265197653659745e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.096018314687791e+02, 0.000000000000000e+00, 0.000000000000000e+00
17, 0.000000000000000e+00, 9.232204607343710e-01, 5.265598762275617e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.096026748009463e+02, 0.000000000000000e+00, 0.000000000000000e+00
18, 0.000000000000000e+00, 9.101321425997635e-01, 5.265887195812846e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.096027689377791e+02, 0.000000000000000e+00, 0.000000000000000e+00
19, 0.000000000000000e+00, 8.952150761161464e-01, 5.266058604469648e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.096023561196609e+02, 0.000000000000000e+00, 0.000000000000000e+00
20, 0.000000000000000e+00, 8.782946399565114e-01, 5.266137469765304e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.096015790852510e+02, 0.000000000000000e+00, 0.000000000000000e+00
21, 0.000000000000000e+00, 8.592053057461341e-01, 5.266080006718588e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.096005651227246e+02, 0.000000000000000e+00, 0.000000000000000e+00
22, 0.000000000000000e+00, 8.378000245133037e-01, 5.265923884980846e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.095993820613522e+02, 0.000000000000000e+00, 0.000000000000000e+00
23, 0.000000000000000e+00, 8.139613704892860e-01, 5.265588217141562e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.095981126933991e+02, 0.000000000000000e+00, 0.000000000000000e+00
