epoch,loss_data,loss_phys,lambda,loss_total
1,2.27201579e+00,0.00000000e+00,1.00000000,2.27201579e+00
2,4.97460141e-01,0.00000000e+00,1.00000000,4.97460141e-01
3,4.68199255e-01,0.00000000e+00,1.00000000,4.68199255e-01
4,4.64841411e-01,0.00000000e+00,1.00000000,4.64841411e-01
5,4.62291513e-01,0.00000000e+00,1.00000000,4.62291513e-01
6,4.63352679e-01,0.00000000e+00,1.00000000,4.63352679e-01
7,4.61227390e-01,0.00000000e+00,1.00000000,4.61227390e-01
8,4.56985059e-01,0.00000000e+00,1.00000000,4.56985059e-01
9,4.57508920e-01,0.00000000e+00,1.00000000,4.57508920e-01
10,4.58475411e-01,0.00000000e+00,1.00000000,4.58475411e-01
11,4.54062138e-01,0.00000000e+00,1.00000000,4.54062138e-01
12,4.55305460e-01,0.00000000e+00,1.00000000,4.55305460e-01
13,4.53344327e-01,0.00000000e+00,1.00000000,4.53344327e-01
14,4.47272439e-01,0.00000000e+00,1.00000000,4.47272439e-01
15,4.46532798e-01,0.00000000e+00,1.00000000,4.46532798e-01
16,4.43482204e-01,0.00000000e+00,1.00000000,4.43482204e-01
17,4.44478480e-01,0.00000000e+00,1.00000000,4.44478480e-01
18,4.43125914e-01,0.00000000e+00,1.00000000,4.43125914e-01
19,4.38317163e-01,0.00000000e+00,1.00000000,4.38317163e-01
20,4.34642572e-01,0.00000000e+00,1.00000000,4.34642572e-01
21,4.33906347e-01,0.00000000e+00,1.00000000,4.33906347e-01
22,4.25307233e-01,0.00000000e+00,1.00000000,4.25307233e-01
23,4.18229146e-01,0.00000000e+00,1.00000000,4.18229146e-01
24,4.10415706e-01,0.00000000e+00,1.00000000,4.10415706e-01
25,4.02123034e-01,0.00000000e+00,1.00000000,4.02123034e-01
26,3.88068664e-01,0.00000000e+00,1.00000000,3.88068664e-01
27,3.73267843e-01,0.00000000e+00,1.00000000,3.73267843e-01
28,3.57909624e-01,0.00000000e+00,1.00000000,3.57909624e-01
29,3.47500659e-01,0.00000000e+00,1.00000000,3.47500659e-01
30,3.40852575e-01,0.00000000e+00,1.00000000,3.40852575e-01
